Model,Overall_Record,Win_Pct,Total_Bets,Total_P/L,Spread_Total_ML_Record,Spread_Total_ML_P/L,Props_Record,Props_P/L
ChatGPT,14-10-1,58.3%,25,$+41.09,5-6-1,$-7.00,9-4,$+48.09
Claude,17-14,54.8%,31,$+15.00,7-7,$-0.45,10-7,$+15.45
Gemini,16-12,57.1%,28,$+20.00,5-8,$-43.82,11-4,$+63.82
